feature_set,embedding,resample,model,val_accuracy,val_precision,val_recall,val_f1,val_f2,val_roc_auc,val_pr_auc,test_accuracy,test_precision,test_recall,test_f1,test_f2,test_roc_auc,test_pr_auc,best_params
L_T,sbert,original,MLP,0.9886023916292974,0.0,0.0,0.0,0.0,0.7950928114862541,0.060974405632984036,0.9886045208294414,0.0,0.0,0.0,0.0,0.7799895914650012,0.03567861461950867,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.001}"
L_T,sbert,SMOTE,MLP,0.9833707025411061,0.20833333333333334,0.16393442622950818,0.1834862385321101,0.17123287671232876,0.7916040538991358,0.1233642724545498,0.9841210536147954,0.14705882352941177,0.08196721311475409,0.10526315789473684,0.08992805755395683,0.7267728585058796,0.07555739509779102,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.01}"
L_T,sbert,ADASYN,MLP,0.9867339312406577,0.34375,0.18032786885245902,0.23655913978494625,0.19927536231884058,0.7780982862950075,0.16349943435112968,0.9869232206239492,0.3333333333333333,0.14754098360655737,0.20454545454545456,0.16605166051660517,0.7635620732810428,0.1175978998783999,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (384, 128, 32), 'learning_rate_init': 0.001}"
A_L_T,sbert,original,MLP,0.9869207772795217,0.2857142857142857,0.09836065573770492,0.14634146341463414,0.11320754716981132,0.8094506291227602,0.10915415741432315,0.9876704651597236,0.2727272727272727,0.04918032786885246,0.08333333333333333,0.058823529411764705,0.8018722971884564,0.07750647499645737,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (384, 128, 32), 'learning_rate_init': 0.001}"
A_L_T,sbert,SMOTE,MLP,0.9861733931240658,0.3142857142857143,0.18032786885245902,0.22916666666666666,0.1971326164874552,0.802327490852081,0.19021734466193324,0.9859891649542313,0.25,0.11475409836065574,0.15730337078651685,0.12867647058823528,0.7679640162075759,0.11069600499323394,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (384, 128, 32), 'learning_rate_init': 0.001}"
A_L_T,sbert,ADASYN,MLP,0.9865470852017937,0.3225806451612903,0.16393442622950818,0.21739130434782608,0.18181818181818182,0.8089053171020384,0.19308172555878708,0.9871100317578928,0.25,0.06557377049180328,0.1038961038961039,0.07692307692307693,0.813473476822423,0.1053663641240656,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (384, 128, 32), 'learning_rate_init': 0.001}"
A_L_T,sbert,original,HybridMLP,0.9886023916292974,0.0,0.0,0.0,0.0,0.7435825140743174,0.031415188289138286,0.9886045208294414,0.0,0.0,0.0,0.0,0.685265727420294,0.02060458487959254,keras_default
A_L_T,sbert,SMOTE,HybridMLP,0.8426756352765321,0.052691867124856816,0.7540983606557377,0.09850107066381156,0.20590868397493287,0.8463149610690595,0.06052630994883306,0.82794694563796,0.03862660944206009,0.5901639344262295,0.07250755287009064,0.15306122448979592,0.8103137429835321,0.04139829122985305,keras_default
A_L_T,sbert,ADASYN,HybridMLP,0.9069506726457399,0.053169734151329244,0.4262295081967213,0.09454545454545454,0.17735334242837653,0.7631827631827631,0.07371003553625428,0.8957593872594807,0.023032629558541268,0.19672131147540983,0.041237113402061855,0.0784313725490196,0.6531169844987175,0.02224143328329909,keras_default
T_A,sbert,original,LogisticRegression,0.9874813153961136,0.125,0.01639344262295082,0.028985507246376812,0.01984126984126984,0.812127615406304,0.0845331249916099,0.9886045208294414,0.5,0.01639344262295082,0.031746031746031744,0.02032520325203252,0.7860147702068077,0.06964353345393218,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}"
T_A,sbert,SMOTE,LogisticRegression,0.8607997010463379,0.04155495978552279,0.5081967213114754,0.0768277571251549,0.15656565656565657,0.7996783898423244,0.06555668514300624,0.8527928264524566,0.03929024081115336,0.5081967213114754,0.07294117647058823,0.15004840271055178,0.7997069501753342,0.058276770163322965,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}"
T_A,sbert,ADASYN,LogisticRegression,0.8572496263079222,0.040522875816993466,0.5081967213114754,0.07506053268765134,0.15361744301288405,0.8010509649853912,0.06647989847942629,0.8490566037735849,0.03717472118959108,0.4918032786885246,0.06912442396313365,0.142721217887726,0.7989944611724471,0.05925563933578964,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}"
T_A,sbert,original,RandomForest,0.9076980568011959,0.07297830374753451,0.6065573770491803,0.13028169014084506,0.24633821571238348,0.8495930299208988,0.08938621604505065,0.8909022977769475,0.04363001745200698,0.4098360655737705,0.07886435331230283,0.15299877600979192,0.7694137764395375,0.03660544944347747,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}"
T_A,sbert,SMOTE,RandomForest,0.9893497757847534,0.6666666666666666,0.13114754098360656,0.2191780821917808,0.15625,0.8469935027312077,0.21943290982192004,0.9891649542312722,0.8,0.06557377049180328,0.12121212121212122,0.08032128514056225,0.7577336034595988,0.1060605272314706,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
T_A,sbert,ADASYN,RandomForest,0.9809417040358744,0.2191780821917808,0.26229508196721313,0.23880597014925373,0.25236593059936907,0.8603877292401882,0.19823589223652258,0.976274985989165,0.0975609756097561,0.13114754098360656,0.11188811188811189,0.12269938650306748,0.7902912531132672,0.11068228577076322,"{'class_weight': None, 'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}"
T_A,sbert,original,MLP,0.9878550074738416,0.16666666666666666,0.01639344262295082,0.029850746268656716,0.02,0.7008374877227337,0.0457338934519533,0.98748365402578,0.125,0.01639344262295082,0.028985507246376812,0.01984126984126984,0.6274364026120467,0.037172539985977,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.001}"
T_A,sbert,SMOTE,MLP,0.9878550074738416,0.42857142857142855,0.19672131147540983,0.2696629213483146,0.22058823529411764,0.7940703514474008,0.21671110386367223,0.9867364094900056,0.25,0.08196721311475409,0.12345679012345678,0.0946969696969697,0.756434085473898,0.10277190576008291,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (384, 128, 32), 'learning_rate_init': 0.001}"
T_A,sbert,ADASYN,MLP,0.9876681614349776,0.41379310344827586,0.19672131147540983,0.26666666666666666,0.21978021978021978,0.7854630969385068,0.1920147560427013,0.9871100317578928,0.3,0.09836065573770492,0.14814814814814814,0.11363636363636363,0.7448112213920176,0.10558793062870082,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (384, 128, 32), 'learning_rate_init': 0.001}"
